From	To	Species	Gene Name
ME1	4199	Homo sapiens	malic enzyme 1(ME1)
ME3	10873	Homo sapiens	malic enzyme 3(ME3)
ZNF644	84146	Homo sapiens	zinc finger protein 644(ZNF644)
ME2	4200	Homo sapiens	malic enzyme 2(ME2)
SPG11	80208	Homo sapiens	SPG11 vesicle trafficking associated, spatacsin(SPG11)
DGCR2	9993	Homo sapiens	DiGeorge syndrome critical region gene 2(DGCR2)
PPP1R12A	4659	Homo sapiens	protein phosphatase 1 regulatory subunit 12A(PPP1R12A)
DST	667	Homo sapiens	dystonin(DST)
PEG3	5178	Homo sapiens	paternally expressed 3(PEG3)
ARNT	405	Homo sapiens	aryl hydrocarbon receptor nuclear translocator(ARNT)
VPS37A	137492	Homo sapiens	VPS37A subunit of ESCRT-I(VPS37A)
NUP50-DT	100506714	Homo sapiens	NUP50 divergent transcript(NUP50-DT)
RAD23B	5887	Homo sapiens	RAD23 homolog B, nucleotide excision repair protein(RAD23B)
SLC25A16	8034	Homo sapiens	solute carrier family 25 member 16(SLC25A16)
NPC1	4864	Homo sapiens	NPC intracellular cholesterol transporter 1(NPC1)
PIK3CA	5290	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)
SNPH	9751	Homo sapiens	syntaphilin(SNPH)
IL1RAPL2	26280	Homo sapiens	interleukin 1 receptor accessory protein like 2(IL1RAPL2)
ZNF638	27332	Homo sapiens	zinc finger protein 638(ZNF638)
IL1RAPL1	11141	Homo sapiens	interleukin 1 receptor accessory protein like 1(IL1RAPL1)
PIK3C3	5289	Homo sapiens	phosphatidylinositol 3-kinase catalytic subunit type 3(PIK3C3)
SLC25A12	8604	Homo sapiens	solute carrier family 25 member 12(SLC25A12)
ST6GALNAC3	256435	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3(ST6GALNAC3)
PPP1R12B	4660	Homo sapiens	protein phosphatase 1 regulatory subunit 12B(PPP1R12B)
BDP1	55814	Homo sapiens	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)
PPP1R12C	54776	Homo sapiens	protein phosphatase 1 regulatory subunit 12C(PPP1R12C)
CNTNAP5	129684	Homo sapiens	contactin associated protein family member 5(CNTNAP5)
ST6GALNAC5	81849	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)
SLC25A13	10165	Homo sapiens	solute carrier family 25 member 13(SLC25A13)
CNTNAP4	85445	Homo sapiens	contactin associated protein family member 4(CNTNAP4)
RNFT2	84900	Homo sapiens	ring finger protein, transmembrane 2(RNFT2)
LRP1	4035	Homo sapiens	LDL receptor related protein 1(LRP1)
FOXK2	3607	Homo sapiens	forkhead box K2(FOXK2)
LRP4	4038	Homo sapiens	LDL receptor related protein 4(LRP4)
FOXK1	221937	Homo sapiens	forkhead box K1(FOXK1)
LRP2	4036	Homo sapiens	LDL receptor related protein 2(LRP2)
MFF	56947	Homo sapiens	mitochondrial fission factor(MFF)
LRP8	7804	Homo sapiens	LDL receptor related protein 8(LRP8)
LRP6	4040	Homo sapiens	LDL receptor related protein 6(LRP6)
PRIMPOL	201973	Homo sapiens	primase and DNA directed polymerase(PRIMPOL)
SLC25A27	9481	Homo sapiens	solute carrier family 25 member 27(SLC25A27)
SLC25A26	115286	Homo sapiens	solute carrier family 25 member 26(SLC25A26)
CECR2	27443	Homo sapiens	CECR2 histone acetyl-lysine reader(CECR2)
SLC25A29	123096	Homo sapiens	solute carrier family 25 member 29(SLC25A29)
CNNM1	26507	Homo sapiens	cyclin and CBS domain divalent metal cation transport mediator 1(CNNM1)
PTPRZ1	5803	Homo sapiens	protein tyrosine phosphatase receptor type Z1(PTPRZ1)
SLITRK4	139065	Homo sapiens	SLIT and NTRK like family member 4(SLITRK4)
SLITRK5	26050	Homo sapiens	SLIT and NTRK like family member 5(SLITRK5)
SLC25A23	79085	Homo sapiens	solute carrier family 25 member 23(SLC25A23)
CNNM2	54805	Homo sapiens	cyclin and CBS domain divalent metal cation transport mediator 2(CNNM2)
LINGO2	158038	Homo sapiens	leucine rich repeat and Ig domain containing 2(LINGO2)
LINGO1	84894	Homo sapiens	leucine rich repeat and Ig domain containing 1(LINGO1)
DUT	1854	Homo sapiens	deoxyuridine triphosphatase(DUT)
MGA	23269	Homo sapiens	MAX dimerization protein MGA(MGA)
FOXJ3	22887	Homo sapiens	forkhead box J3(FOXJ3)
BAIAP2	10458	Homo sapiens	BAR/IMD domain containing adaptor protein 2(BAIAP2)
NELL2	4753	Homo sapiens	neural EGFL like 2(NELL2)
SLC25A37	51312	Homo sapiens	solute carrier family 25 member 37(SLC25A37)
NELL1	4745	Homo sapiens	neural EGFL like 1(NELL1)
SNRK	54861	Homo sapiens	SNF related kinase(SNRK)
ZNF618	114991	Homo sapiens	zinc finger protein 618(ZNF618)
SLC25A32	81034	Homo sapiens	solute carrier family 25 member 32(SLC25A32)
MDGA2	161357	Homo sapiens	MAM domain containing glycosylphosphatidylinositol anchor 2(MDGA2)
SLC25A36	55186	Homo sapiens	solute carrier family 25 member 36(SLC25A36)
VPS35L	57020	Homo sapiens	VPS35 endosomal protein sorting factor like(VPS35L)
EIF4A2	1974	Homo sapiens	eukaryotic translation initiation factor 4A2(EIF4A2)
EPHB6	2051	Homo sapiens	EPH receptor B6(EPHB6)
EIF4A1	1973	Homo sapiens	eukaryotic translation initiation factor 4A1(EIF4A1)
LPGAT1	9926	Homo sapiens	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
RETREG3	162427	Homo sapiens	reticulophagy regulator family member 3(RETREG3)
ULK4	54986	Homo sapiens	unc-51 like kinase 4(ULK4)
TXNDC11	51061	Homo sapiens	thioredoxin domain containing 11(TXNDC11)
DNHD1	144132	Homo sapiens	dynein heavy chain domain 1(DNHD1)
GCC2	9648	Homo sapiens	GRIP and coiled-coil domain containing 2(GCC2)
TXNDC15	79770	Homo sapiens	thioredoxin domain containing 15(TXNDC15)
TXNDC16	57544	Homo sapiens	thioredoxin domain containing 16(TXNDC16)
UBE2L3	7332	Homo sapiens	ubiquitin conjugating enzyme E2 L3(UBE2L3)
SRGAP2C	653464	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 2C(SRGAP2C)
DHX57	90957	Homo sapiens	DExH-box helicase 57(DHX57)
CHORDC1	26973	Homo sapiens	cysteine and histidine rich domain containing 1(CHORDC1)
BCAP29	55973	Homo sapiens	B cell receptor associated protein 29(BCAP29)
ZNF721	170960	Homo sapiens	zinc finger protein 721(ZNF721)
CCNL2	81669	Homo sapiens	cyclin L2(CCNL2)
EPHB2	2048	Homo sapiens	EPH receptor B2(EPHB2)
ACAD11	84129	Homo sapiens	acyl-CoA dehydrogenase family member 11(ACAD11)
CCNL1	57018	Homo sapiens	cyclin L1(CCNL1)
EPHB1	2047	Homo sapiens	EPH receptor B1(EPHB1)
SRGAP2B	647135	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 2B(SRGAP2B)
EPHA5	2044	Homo sapiens	EPH receptor A5(EPHA5)
EPHA4	2043	Homo sapiens	EPH receptor A4(EPHA4)
EPHA7	2045	Homo sapiens	EPH receptor A7(EPHA7)
EPHA6	285220	Homo sapiens	EPH receptor A6(EPHA6)
ENTPD3	956	Homo sapiens	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)
SCAF11	9169	Homo sapiens	SR-related CTD associated factor 11(SCAF11)
ENTPD4	9583	Homo sapiens	ectonucleoside triphosphate diphosphohydrolase 4(ENTPD4)
PHYKPL	85007	Homo sapiens	5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL)
ENTPD6	955	Homo sapiens	ectonucleoside triphosphate diphosphohydrolase 6(ENTPD6)
NSMCE2	286053	Homo sapiens	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase(NSMCE2)
ASRGL1	80150	Homo sapiens	asparaginase and isoaspartyl peptidase 1(ASRGL1)
ZNF718	255403	Homo sapiens	zinc finger protein 718(ZNF718)
ZNF717	100131827	Homo sapiens	zinc finger protein 717(ZNF717)
ZNF713	349075	Homo sapiens	zinc finger protein 713(ZNF713)
ULK2	9706	Homo sapiens	unc-51 like autophagy activating kinase 2(ULK2)
ULK1	8408	Homo sapiens	unc-51 like autophagy activating kinase 1(ULK1)
PCBP1-AS1	400960	Homo sapiens	PCBP1 antisense RNA 1(PCBP1-AS1)
TAGLN3	29114	Homo sapiens	transgelin 3(TAGLN3)
CTXN1	404217	Homo sapiens	cortexin 1(CTXN1)
EPHA3	2042	Homo sapiens	EPH receptor A3(EPHA3)
TMEM72-AS1	220980	Homo sapiens	TMEM72 antisense RNA 1(TMEM72-AS1)
TMEM87A	25963	Homo sapiens	transmembrane protein 87A(TMEM87A)
FOXG1	2290	Homo sapiens	forkhead box G1(FOXG1)
PIK3R3	8503	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
KIF9-AS1	285352	Homo sapiens	KIF9 antisense RNA 1(KIF9-AS1)
PIK3R1	5295	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
RTF1	23168	Homo sapiens	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)
OSGEP	55644	Homo sapiens	O-sialoglycoprotein endopeptidase(OSGEP)
SNX3	8724	Homo sapiens	sorting nexin 3(SNX3)
SNX4	8723	Homo sapiens	sorting nexin 4(SNX4)
DHX30	22907	Homo sapiens	DExH-box helicase 30(DHX30)
SNX1	6642	Homo sapiens	sorting nexin 1(SNX1)
ZNF708	7562	Homo sapiens	zinc finger protein 708(ZNF708)
SNX2	6643	Homo sapiens	sorting nexin 2(SNX2)
ZNF706	51123	Homo sapiens	zinc finger protein 706(ZNF706)
PCBP3	54039	Homo sapiens	poly(rC) binding protein 3(PCBP3)
ZNF704	619279	Homo sapiens	zinc finger protein 704(ZNF704)
MIER1	57708	Homo sapiens	MIER1 transcriptional regulator(MIER1)
PCBP2	5094	Homo sapiens	poly(rC) binding protein 2(PCBP2)
DHX36	170506	Homo sapiens	DEAH-box helicase 36(DHX36)
DYM	54808	Homo sapiens	dymeclin(DYM)
SNX9	51429	Homo sapiens	sorting nexin 9(SNX9)
ARSG	22901	Homo sapiens	arylsulfatase G(ARSG)
RIMKLA	284716	Homo sapiens	ribosomal modification protein rimK like family member A(RIMKLA)
RAB11FIP2	22841	Homo sapiens	RAB11 family interacting protein 2(RAB11FIP2)
RIMKLB	57494	Homo sapiens	ribosomal modification protein rimK like family member B(RIMKLB)
ZBED5	58486	Homo sapiens	zinc finger BED-type containing 5(ZBED5)
RAB11FIP3	9727	Homo sapiens	RAB11 family interacting protein 3(RAB11FIP3)
SNX8	29886	Homo sapiens	sorting nexin 8(SNX8)
N4BP2	55728	Homo sapiens	NEDD4 binding protein 2(N4BP2)
ARSB	411	Homo sapiens	arylsulfatase B(ARSB)
N4BP1	9683	Homo sapiens	NEDD4 binding protein 1(N4BP1)
RAB11FIP4	84440	Homo sapiens	RAB11 family interacting protein 4(RAB11FIP4)
SNX6	58533	Homo sapiens	sorting nexin 6(SNX6)
CRADD	8738	Homo sapiens	CASP2 and RIPK1 domain containing adaptor with death domain(CRADD)
INTS3	65123	Homo sapiens	integrator complex subunit 3(INTS3)
MICAL3	57553	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 3(MICAL3)
MICAL2	9645	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 2(MICAL2)
PILRB	29990	Homo sapiens	paired immunoglobin like type 2 receptor beta(PILRB)
WAPL	23063	Homo sapiens	WAPL cohesin release factor(WAPL)
TF	7018	Homo sapiens	transferrin(TF)
TASOR2	54906	Homo sapiens	transcription activation suppressor family member 2(TASOR2)
INTS6	26512	Homo sapiens	integrator complex subunit 6(INTS6)
DHX29	54505	Homo sapiens	DExH-box helicase 29(DHX29)
RETREG2	79137	Homo sapiens	reticulophagy regulator family member 2(RETREG2)
INTS9	55756	Homo sapiens	integrator complex subunit 9(INTS9)
RCOR3	55758	Homo sapiens	REST corepressor 3(RCOR3)
RETREG1	54463	Homo sapiens	reticulophagy regulator 1(RETREG1)
INTS8	55656	Homo sapiens	integrator complex subunit 8(INTS8)
RCOR1	23186	Homo sapiens	REST corepressor 1(RCOR1)
PCSK2	5126	Homo sapiens	proprotein convertase subtilisin/kexin type 2(PCSK2)
TMEM151B	441151	Homo sapiens	transmembrane protein 151B(TMEM151B)
FKBP15	23307	Homo sapiens	FKBP prolyl isomerase family member 15(FKBP15)
SLC7A14	57709	Homo sapiens	solute carrier family 7 member 14(SLC7A14)
AATK	9625	Homo sapiens	apoptosis associated tyrosine kinase(AATK)
WASL	8976	Homo sapiens	WASP like actin nucleation promoting factor(WASL)
PCSK7	9159	Homo sapiens	proprotein convertase subtilisin/kexin type 7(PCSK7)
AATF	26574	Homo sapiens	apoptosis antagonizing transcription factor(AATF)
PCSK6	5046	Homo sapiens	proprotein convertase subtilisin/kexin type 6(PCSK6)
CLYBL	171425	Homo sapiens	citramalyl-CoA lyase(CLYBL)
IMMP2L	83943	Homo sapiens	inner mitochondrial membrane peptidase subunit 2(IMMP2L)
ENC1	8507	Homo sapiens	ectodermal-neural cortex 1(ENC1)
DHX15	1665	Homo sapiens	DEAH-box helicase 15(DHX15)
REV3L	5980	Homo sapiens	REV3 like, DNA directed polymerase zeta catalytic subunit(REV3L)
LINC00299	339789	Homo sapiens	long intergenic non-protein coding RNA 299(LINC00299)
DIRC3	729582	Homo sapiens	disrupted in renal carcinoma 3(DIRC3)
NCOA1	8648	Homo sapiens	nuclear receptor coactivator 1(NCOA1)
NCOA2	10499	Homo sapiens	nuclear receptor coactivator 2(NCOA2)
ANKDD1A	348094	Homo sapiens	ankyrin repeat and death domain containing 1A(ANKDD1A)
THUMPD3-AS1	440944	Homo sapiens	THUMPD3 antisense RNA 1(THUMPD3-AS1)
NCOA5	57727	Homo sapiens	nuclear receptor coactivator 5(NCOA5)
NCOA6	23054	Homo sapiens	nuclear receptor coactivator 6(NCOA6)
NCOA3	8202	Homo sapiens	nuclear receptor coactivator 3(NCOA3)
MINK1	50488	Homo sapiens	misshapen like kinase 1(MINK1)
ACAD9	28976	Homo sapiens	acyl-CoA dehydrogenase family member 9(ACAD9)
COMMD1	150684	Homo sapiens	copper metabolism domain containing 1(COMMD1)
TMEM150C	441027	Homo sapiens	transmembrane protein 150C(TMEM150C)
MRPS6	64968	Homo sapiens	mitochondrial ribosomal protein S6(MRPS6)
MRPS5	64969	Homo sapiens	mitochondrial ribosomal protein S5(MRPS5)
ENAH	55740	Homo sapiens	ENAH actin regulator(ENAH)
IMMP1L	196294	Homo sapiens	inner mitochondrial membrane peptidase subunit 1(IMMP1L)
MRPS9	64965	Homo sapiens	mitochondrial ribosomal protein S9(MRPS9)
VSNL1	7447	Homo sapiens	visinin like 1(VSNL1)
CSDE1	7812	Homo sapiens	cold shock domain containing E1(CSDE1)
G2E3	55632	Homo sapiens	G2/M-phase specific E3 ubiquitin protein ligase(G2E3)
NCOA7	135112	Homo sapiens	nuclear receptor coactivator 7(NCOA7)
CRELD1	78987	Homo sapiens	cysteine rich with EGF like domains 1(CRELD1)
SFI1	9814	Homo sapiens	SFI1 centrin binding protein(SFI1)
STK40	83931	Homo sapiens	serine/threonine kinase 40(STK40)
CAPS2	84698	Homo sapiens	calcyphosine 2(CAPS2)
LIPE-AS1	100996307	Homo sapiens	LIPE antisense RNA 1(LIPE-AS1)
RABGAP1	23637	Homo sapiens	RAB GTPase activating protein 1(RABGAP1)
SATB1	6304	Homo sapiens	SATB homeobox 1(SATB1)
PVT1	5820	Homo sapiens	Pvt1 oncogene(PVT1)
SATB2	23314	Homo sapiens	SATB homeobox 2(SATB2)
GREB1L	80000	Homo sapiens	GREB1 like retinoic acid receptor coactivator(GREB1L)
NEDD8	4738	Homo sapiens	NEDD8 ubiquitin like modifier(NEDD8)
PGRMC1	10857	Homo sapiens	progesterone receptor membrane component 1(PGRMC1)
NPDC1	56654	Homo sapiens	neural proliferation, differentiation and control 1(NPDC1)
NORAD	647979	Homo sapiens	non-coding RNA activated by DNA damage(NORAD)
MOG	4340	Homo sapiens	myelin oligodendrocyte glycoprotein(MOG)
NUBPL	80224	Homo sapiens	NUBP iron-sulfur cluster assembly factor, mitochondrial(NUBPL)
YIPF4	84272	Homo sapiens	Yip1 domain family member 4(YIPF4)
MIR99AHG	388815	Homo sapiens	mir-99a-let-7c cluster host gene(MIR99AHG)
HUWE1	10075	Homo sapiens	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1(HUWE1)
MOK	5891	Homo sapiens	MOK protein kinase(MOK)
UBE2G1	7326	Homo sapiens	ubiquitin conjugating enzyme E2 G1(UBE2G1)
UBE2G2	7327	Homo sapiens	ubiquitin conjugating enzyme E2 G2(UBE2G2)
FKBP1A	2280	Homo sapiens	FKBP prolyl isomerase 1A(FKBP1A)
PER1	5187	Homo sapiens	period circadian regulator 1(PER1)
PER3	8863	Homo sapiens	period circadian regulator 3(PER3)
CMSS1	84319	Homo sapiens	cms1 ribosomal small subunit homolog(CMSS1)
ZDHHC9	51114	Homo sapiens	zinc finger DHHC-type palmitoyltransferase 9(ZDHHC9)
ESYT2	57488	Homo sapiens	extended synaptotagmin 2(ESYT2)
FAM171B	165215	Homo sapiens	family with sequence similarity 171 member B(FAM171B)
SH3GL3	6457	Homo sapiens	SH3 domain containing GRB2 like 3, endophilin A3(SH3GL3)
KLHL32	114792	Homo sapiens	kelch like family member 32(KLHL32)
WBP1L	54838	Homo sapiens	WW domain binding protein 1 like(WBP1L)
CYP46A1	10858	Homo sapiens	cytochrome P450 family 46 subfamily A member 1(CYP46A1)
CCND3	896	Homo sapiens	cyclin D3(CCND3)
CCND2	894	Homo sapiens	cyclin D2(CCND2)
CAPN7	23473	Homo sapiens	calpain 7(CAPN7)
FAM174B	400451	Homo sapiens	family with sequence similarity 174 member B(FAM174B)
CAPN3	825	Homo sapiens	calpain 3(CAPN3)
SH3GL2	6456	Homo sapiens	SH3 domain containing GRB2 like 2, endophilin A1(SH3GL2)
SH3GL1	6455	Homo sapiens	SH3 domain containing GRB2 like 1, endophilin A2(SH3GL1)
RPGRIP1L	23322	Homo sapiens	RPGRIP1 like(RPGRIP1L)
TANC2	26115	Homo sapiens	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)
KLHL42	57542	Homo sapiens	kelch like family member 42(KLHL42)
TANC1	85461	Homo sapiens	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1(TANC1)
UBE2V2	7336	Homo sapiens	ubiquitin conjugating enzyme E2 V2(UBE2V2)
UBE2V1	7335	Homo sapiens	ubiquitin conjugating enzyme E2 V1(UBE2V1)
VCL	7414	Homo sapiens	vinculin(VCL)
KLHL18	23276	Homo sapiens	kelch like family member 18(KLHL18)
RTN3	10313	Homo sapiens	reticulon 3(RTN3)
NDRG4	65009	Homo sapiens	NDRG family member 4(NDRG4)
NDRG3	57446	Homo sapiens	NDRG family member 3(NDRG3)
RTN1	6252	Homo sapiens	reticulon 1(RTN1)
CCDC149	91050	Homo sapiens	coiled-coil domain containing 149(CCDC149)
CCDC148	130940	Homo sapiens	coiled-coil domain containing 148(CCDC148)
CCDC146	57639	Homo sapiens	coiled-coil domain containing 146(CCDC146)
UTP23	84294	Homo sapiens	UTP23 small subunit processome component(UTP23)
NDRG2	57447	Homo sapiens	NDRG family member 2(NDRG2)
ACACB	32	Homo sapiens	acetyl-CoA carboxylase beta(ACACB)
NDRG1	10397	Homo sapiens	N-myc downstream regulated 1(NDRG1)
ACACA	31	Homo sapiens	acetyl-CoA carboxylase alpha(ACACA)
RTN4	57142	Homo sapiens	reticulon 4(RTN4)
BRINP2	57795	Homo sapiens	BMP/retinoic acid inducible neural specific 2(BRINP2)
BRINP1	1620	Homo sapiens	BMP/retinoic acid inducible neural specific 1(BRINP1)
BRINP3	339479	Homo sapiens	BMP/retinoic acid inducible neural specific 3(BRINP3)
KLHL29	114818	Homo sapiens	kelch like family member 29(KLHL29)
ZFHX3	463	Homo sapiens	zinc finger homeobox 3(ZFHX3)
ZFHX2	85446	Homo sapiens	zinc finger homeobox 2(ZFHX2)
CCDC138	165055	Homo sapiens	coiled-coil domain containing 138(CCDC138)
CCDC136	64753	Homo sapiens	coiled-coil domain containing 136(CCDC136)
KLHL28	54813	Homo sapiens	kelch like family member 28(KLHL28)
CRIM1	51232	Homo sapiens	cysteine rich transmembrane BMP regulator 1(CRIM1)
DSTN	11034	Homo sapiens	destrin, actin depolymerizing factor(DSTN)
KLHL22	84861	Homo sapiens	kelch like family member 22(KLHL22)
NFXL1	152518	Homo sapiens	nuclear transcription factor, X-box binding like 1(NFXL1)
KLHL23	151230	Homo sapiens	kelch like family member 23(KLHL23)
KLHL24	54800	Homo sapiens	kelch like family member 24(KLHL24)
MT3	4504	Homo sapiens	metallothionein 3(MT3)
ZFHX4	79776	Homo sapiens	zinc finger homeobox 4(ZFHX4)
ANKHD1	54882	Homo sapiens	ankyrin repeat and KH domain containing 1(ANKHD1)
KLHL20	27252	Homo sapiens	kelch like family member 20(KLHL20)
RCL1	10171	Homo sapiens	RNA terminal phosphate cyclase like 1(RCL1)
APPBP2	10513	Homo sapiens	amyloid beta precursor protein binding protein 2(APPBP2)
MMP24OS	101410538	Homo sapiens	MMP24 opposite strand(MMP24OS)
TAB2	23118	Homo sapiens	TGF-beta activated kinase 1 (MAP3K7) binding protein 2(TAB2)
STT3B	201595	Homo sapiens	STT3 oligosaccharyltransferase complex catalytic subunit B(STT3B)
LSM14A	26065	Homo sapiens	LSM14A mRNA processing body assembly factor(LSM14A)
RBM27	54439	Homo sapiens	RNA binding motif protein 27(RBM27)
YWHAE	7531	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)
RBM25	58517	Homo sapiens	RNA binding motif protein 25(RBM25)
RBM26	64062	Homo sapiens	RNA binding motif protein 26(RBM26)
CNRIP1	25927	Homo sapiens	cannabinoid receptor interacting protein 1(CNRIP1)
CHD9	80205	Homo sapiens	chromodomain helicase DNA binding protein 9(CHD9)
YWHAB	7529	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta(YWHAB)
CHD8	57680	Homo sapiens	chromodomain helicase DNA binding protein 8(CHD8)
CHD7	55636	Homo sapiens	chromodomain helicase DNA binding protein 7(CHD7)
CHD6	84181	Homo sapiens	chromodomain helicase DNA binding protein 6(CHD6)
ATP2A2	488	Homo sapiens	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2)
CHD5	26038	Homo sapiens	chromodomain helicase DNA binding protein 5(CHD5)
PSIP1	11168	Homo sapiens	PC4 and SRSF1 interacting protein 1(PSIP1)
CHD4	1108	Homo sapiens	chromodomain helicase DNA binding protein 4(CHD4)
MTR	4548	Homo sapiens	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)
HMGB1	3146	Homo sapiens	high mobility group box 1(HMGB1)
LAMC1	3915	Homo sapiens	laminin subunit gamma 1(LAMC1)
CHD2	1106	Homo sapiens	chromodomain helicase DNA binding protein 2(CHD2)
SOBP	55084	Homo sapiens	sine oculis binding protein homolog(SOBP)
CHD1	1105	Homo sapiens	chromodomain helicase DNA binding protein 1(CHD1)
ARMH4	145407	Homo sapiens	armadillo like helical domain containing 4(ARMH4)
BCL7A	605	Homo sapiens	BAF chromatin remodeling complex subunit BCL7A(BCL7A)
YWHAQ	10971	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)
GATAD1	57798	Homo sapiens	GATA zinc finger domain containing 1(GATAD1)
NPTN	27020	Homo sapiens	neuroplastin(NPTN)
ZNF385B	151126	Homo sapiens	zinc finger protein 385B(ZNF385B)
LRRFIP2	9209	Homo sapiens	LRR binding FLII interacting protein 2(LRRFIP2)
LRRFIP1	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)
ZNF385D	79750	Homo sapiens	zinc finger protein 385D(ZNF385D)
SULT4A1	25830	Homo sapiens	sulfotransferase family 4A member 1(SULT4A1)
ARMH3	79591	Homo sapiens	armadillo like helical domain containing 3(ARMH3)
YWHAG	7532	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma(YWHAG)
YWHAH	7533	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta(YWHAH)
RBM33	155435	Homo sapiens	RNA binding motif protein 33(RBM33)
ARHGEF11	9826	Homo sapiens	Rho guanine nucleotide exchange factor 11(ARHGEF11)
ARHGEF10	9639	Homo sapiens	Rho guanine nucleotide exchange factor 10(ARHGEF10)
RBM17	84991	Homo sapiens	RNA binding motif protein 17(RBM17)
